PROCEDIMENTO,Código SIGTAP,SIGTAP- Procedimento
ABAIXAMENTO DE COLON,0407020241,FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO)
ABAIXAMENTO DE COLON,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ABDOMINOSACROPERINEAL PENA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ABORDAGEM TRANSESFENOIDAL PARA TUMOR DE HIPÓFISE,0403030064,HIPOFISECTOMIA TRANSESFENOIDAL POR TECNICA COMPLEMENTAR
ADENOIDECTOMIA,0404010016,ADENOIDECTOMIA
ADENOIDECTOMIA,0404010032,AMIGDALECTOMIA COM ADENOIDECTOMIA
ADENOIDECTOMIA,0415010012,TRATAMENTO C/ CIRURGIAS MULTIPLAS
ADENOIDECTOMIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ADRENALECTOMIA,0416010202,SUPRARRENALECTOMIA EM ONCOLOGIA
ADRENALECTOMIA,0416040349,PANCREATECTOMIA PARCIAL VIDEOLAPAROSCÓPICA EM ONCOLOGIA
ADRENALECTOMIA,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
ADRENALECTOMIA,0506020096,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE FIGADO- PÓS TRANSPLANTE CRÍTICO
ADRENALECTOMIAVIDEOLAPAROSCÓPICA,0402020022,SUPRARRENALECTOMIA UNILATERAL
ADRENALECTOMIAVIDEOLAPAROSCÓPICA,0416010202,SUPRARRENALECTOMIA EM ONCOLOGIA
ALCOOLIZAÇÃO PERCUTANEA DE HEMANGIOMAS E MALFORMAÇÕES VENOSAS,0406040010,ALCOOLIZAÇÃO PERCUTÂNEA DE HEMANGIOMA E MALFORMAÇÃO VENOSAS (INCLUI ESTUDO ANGIOGRAFICO)
ALCOOLIZAÇÃO PERCUTANEA DE HEMANGIOMAS E MALFORMAÇÕES VENOSAS,0406040214,EMBOLIZAÇÃO DE MALFORMAÇÃO VASCULAR POR PUNÇÃO DIRETA (INCLUI DROGAS EMBOLIZANTES)
ALCOOLIZAÇÃO PERCUTANEA DE HEMANGIOMAS E MALFORMAÇÕES VENOSAS,0416040179,ALCOOLIZAÇÃO PERCUTÂNEA DE CARCINOMA HEPÁTICO
ALCOOLIZAÇÃO PERCUTANEA DE HEMANGIOMAS E MALFORMAÇÕES VENOSAS,0416040187,TRATAMENTO DE CARCINOMA HEPÁTICO POR RADIOFREQUÊNCIA
ALONGAMENTO DE TENDAO,0408050080,FASCIOTOMIA DE MEMBROS INFERIORES
ALONGAMENTO DE TENDAO,0408060018,ALONGAMENTO / ENCURTAMENTO MIOTENDINOSO
ALONGAMENTO DE TENDAO,0408060182,OSTEOTOMIA DE OSSOS DA MÃO E/OU DO PÉ
ALONGAMENTO DE TENDAO,0415020069,PROCEDIMENTOS SEQUENCIAIS EM ORTOPEDIA
ALONGAMENTO DOS OSSOS DA PERNA,0408060034,ALONGAMENTO E/OU TRANSPORTE ÓSSEO DE OSSOS LONGOS (EXCETO DA MÃO E DO PÉ)
ALONGAMENTO E/OU TRANSPORTE DE OSSEO DOS OSSOS CURTOS OU LONGOS DA MÃO E DO PÉ,0408050748,TRATAMENTO CIRÚRGICO DE PÉ PLANO VALGO
AMIDALECTOMIA,0308040015,TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS
AMIDALECTOMIA,0404010024,AMIGDALECTOMIA
AMIDALECTOMIA,0404010032,AMIGDALECTOMIA COM ADENOIDECTOMIA
AMIDALECTOMIA,0404010130,EXTIRPAÇÃO DE TUMOR DO CAVUM E FARINGE
AMIDALECTOMIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
AMIDALECTOMIA,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
AMIDALECTOMIA,0416020178,LINFADENECTOMIA CERVICAL SUPRAOMO-HIOIDEA UNILATERAL EM ONCOLOGIA
AMIDALECTOMIA,0416030041,RESSECÇÃO DE GLÂNDULA SUBMANDIBULAR EM ONCOLOGIA
AMIDALECTOMIA,0416030068,GLOSSECTOMIA PARCIAL EM ONCOLOGIA
AMIDALECTOMIA,0416030351,RESSECÇÃO DE LESÃO MALIGNA DE MUCOSA BUCAL EM ONCOLOGIA
AMIDALECTOMIA COM ADENOIDECTOMIA,0404010024,AMIGDALECTOMIA
AMIDALECTOMIA COM ADENOIDECTOMIA,0404010032,AMIGDALECTOMIA COM ADENOIDECTOMIA
